#AK_Other::!AK_UpdateTags::Table,#Zank::#Useful::Table
#AK_Other::!AK_UpdateTags::AnKing_Image,#Zank::#Useful::AnKing_Image
#AK_Other::#AK_Original_Decks::Step_2,#Zank::#Step2_v12::Original_Decks
#AK_Other::#AK_Original_Decks::Step_1,#Zank::Step1_v12::Original_Decks
#AK_Other::Card_Features::Histology,#Zank::#Useful::Histology
#AK_Other::Card_Features::Clinical_Sign,#Zank::#Useful::Clinical_Sign
#AK_Other::Card_Features::Algorithm,#Zank::#Useful::Algorithm
#AK_Other::Card_Features::Mnemonic,#Zank::#Useful::Mnemonic
#AK_Other::Card_Features::Rapid_Diagnosis,#Zank::#Useful::#Rapid_Diagnosis
#AK_Other::#AK_Original_Decks::Step_2,#Zank::#Step2_v12::Original_decks
#AK_Other::#AK_Original_Decks::Step_1,#Zank::Step1_v12::Original_decks

#AK_Step1_v12::^Other::^Formula,#Zank::#Useful::^Formula

AnkiHub_Optional::Physical_Exam_Skills,#Zank::#Useful::Physical_Exam_Skills
AnkiHub_Optional::SHELF_EXAMS,#Zank::AH_Optional::#SHELF_EXAMS
AnkiHub_Optional::Unified_Tags,#Zank::#Unified_Tags
AnkiHub_Optional::Yield,#Zank::AH_Optional::#Yield
AnkiHub_Optional::allsteptwo,#Zank::AH_Optional::#Yield

#AK_Step2_v12::!FLAG_THESE_CARDS,#Zank::#Step2_v12::zFLAG_THESE_CARDS

AnkiHub_Subdeck, #Zank::AH_subdeck

#Zank::#Step2_v12::#OME_banner::Basic_Science,#Zank::#Step2_v12::#OME::*Basic_Science
#Zank::#Step2_v12::#OME_banner::Clinical,#Zank::#Step2_v12::#OME::*Clinical


#Zank::Step1_v12::#B&B::01_Basic_Pharmacology,#Zank::Step1_v12::#B&B::02_Basic_Pharmacology
#Zank::Step1_v12::#B&B::02_Behavioral,#Zank::Step1_v12::#B&B::03_Behavioral
#Zank::Step1_v12::#B&B::03_Biochem,#Zank::Step1_v12::#B&B::04_Biochem
#Zank::Step1_v12::#B&B::04_Cell_Bio,#Zank::Step1_v12::#B&B::05_Cell_Bio
#Zank::Step1_v12::#B&B::05_Cardio,#Zank::Step1_v12::#B&B::06_Cardio
#Zank::Step1_v12::#B&B::06_Derm,#Zank::Step1_v12::#B&B::07_Derm
#Zank::Step1_v12::#B&B::07_Endo,#Zank::Step1_v12::#B&B::08_Endo
#Zank::Step1_v12::#B&B::08_GI,#Zank::Step1_v12::#B&B::09_GI
#Zank::Step1_v12::#B&B::09_Genetics,#Zank::Step1_v12::#B&B::10_Genetics
#Zank::Step1_v12::#B&B::10_Heme,#Zank::Step1_v12::#B&B::11_Heme
#Zank::Step1_v12::#B&B::11_Immuno,#Zank::Step1_v12::#B&B::12_Immuno
#Zank::Step1_v12::#B&B::12_Micro,#Zank::Step1_v12::#B&B::13_Micro

#Zank::Step1_v12::#FirstAid::01_Biochem::05_Nutrition::12_Vitamin_B12,#Zank::Step1_v12::#FirstAid::01_Biochem::05_Nutrition::13_Vitamin_B12
#Zank::Step1_v12::#FirstAid::01_Biochem::06_Metabolism::21_Sorbitol,#Zank::Step1_v12::#FirstAid::01_Biochem::06_Metabolism::20_Sorbitol
#Zank::Step1_v12::#FirstAid::03_Microbiology::02_Clinical_Bacteriology::24_Neisseria,#Zank::Step1_v12::#FirstAid::03_Microbiology::02_Clinical_Bacteriology::23_Neisseria
#Zank::Step1_v12::#FirstAid::03_Microbiology::05_Virology::09_Herpesviruses,#Zank::Step1_v12::#FirstAid::03_Microbiology::05_Virology::06_Herpesviruses
#Zank::Step1_v12::#FirstAid::03_Microbiology::05_Virology::15_Picornavirus,#Zank::Step1_v12::#FirstAid::03_Microbiology::05_Virology::10_Picornavirus
#Zank::Step1_v12::#FirstAid::03_Microbiology::07_Antimicrobials::41_Echinocandins,#Zank::Step1_v12::#FirstAid::03_Microbiology::07_Antimicrobials::36_Echinocandins
#Zank::Step1_v12::#FirstAid::04_Pathology::01_Cellular_Injury::10_Amyloidosis,#Zank::Step1_v12::#FirstAid::04_Pathology::01_Cellular_Injury::11_Amyloidosis
#Zank::Step1_v12::#FirstAid::05_Pharm::02_Autonomic_Drugs::09_Atropine,#Zank::Step1_v12::#FirstAid::05_Pharm::02_Autonomic_Drugs::10_Atropine
#Zank::Step1_v12::#FirstAid::07_Cardiovascular::05_Pharm::06_Nitrates,#Zank::Step1_v12::#FirstAid::07_Cardiovascular::05_Pharm::02_Nitrates
#Zank::Step1_v12::#FirstAid::09_Gastrointestinal::04_Pathology::45_Hemochromatosis,#Zank::Step1_v12::#FirstAid::09_Gastrointestinal::04_Pathology::48_Hemochromatosis
#Zank::Step1_v12::#FirstAid::09_Gastrointestinal::05_Pharm::09_5-ASA_drugs,#Zank::Step1_v12::#FirstAid::09_Gastrointestinal::05_Pharm::06_5-ASA_drugs
#Zank::Step1_v12::#FirstAid::10_Renal::04_Pharm::08_Diuretics,#Zank::Step1_v12::#FirstAid::10_Renal::04_Pharm::05_Diuretics
#Zank::Step1_v12::#FirstAid::11_Reproductive::01_Anatomy::14_Scrotum,#Zank::Step1_v12::#FirstAid::11_Reproductive::01_Anatomy::16_Scrotum
#Zank::Step1_v12::#FirstAid::13_Psych::03_Pharm::11_Atypical_antidepressants::Mirtazapine,#Zank::Step1_v12::#FirstAid::13_Psych::03_Pharm::11_Atypical_antidepressants::02_Mirtazapine
#Zank::Step1_v12::#FirstAid::13_Psych::03_Pharm::11_Atypical_antidepressants::Trazodone,#Zank::Step1_v12::#FirstAid::13_Psych::03_Pharm::11_Atypical_antidepressants::01_Trazodone
#Zank::Step1_v12::#FirstAid::14_Neurology::05_Pharm::03_General_anesthetic,#Zank::Step1_v12::#FirstAid::14_Neurology::05_Pharm::02_General_anesthetic
#Zank::Step1_v12::#FirstAid::14_Neurology::05_Pharm::08_Sedative-hypnotics,#Zank::Step1_v12::#FirstAid::14_Neurology::05_Pharm::03_Sedative-hypnotics
#Zank::Step1_v12::#FirstAid::15_Musculoskeletal::02_Pathology::03_Osteogenesis_imperfecta,#Zank::Step1_v12::#FirstAid::15_Musculoskeletal::02_Pathology::04_Osteogenesis_imperfecta
#Zank::Step1_v12::#FirstAid::15_Musculoskeletal::03_Pharm::16_Gout,#Zank::Step1_v12::#FirstAid::15_Musculoskeletal::03_Pharm::09_Gout
